Title,Seconds,Passage,Question,A,B,C,D,E,F,Answer
The Baroque Period,150,"The Baroque period was anticipated before 1600, although that date remains as a convenient marker for the start of the period. It is a period of dramatic expression, of a vigorous, highly ornamented art. An era of absolute monarchies, each court had its own group of musicians, both vocal and instrumental.
The Doctrine of Affections of the Baroque relates to the portrayal of emotions through music. A recognized musical vocabulary expressed certain emotions. Within this overall context, composers used musical techniques to vividly describe the meaning of the words. Rising passages are found at words such as ""resurrection,"" ""heaven,"" etc. Descending passages were used for such phrases as ""to the depths"" and ""descended into hell.""
It was also a period of scientific discovery and reasoning. New findings in the sciences were vitally important to knowledge on the continent. Although we are usually concerned with Baroque music of the continent, it was during this period that the settlement of the New World began.
Rhythmic energy, coupled with a strong melodic thrust, makes performances of Baroque music appealing and satisfying to musicians, both amateur and professional.
Characteristics of Baroque choral music include:
1. Vertical structure rather than linear
2. Major-minor tonality established
3. Figured bass
4. Outer voice polarity—soprano melody over a figured bass
5. New counterpoint—subordinate to the harmony
6. Concertato style important
7. Terraced dynamics
8. Instruments influenced texture
9. Form determined by musical considerations
10. Doctrine of Affections
11. Virtuosity and improvisation are important elements
12. Steady pulsating rhythm—barlines introduced
Although 1600 is generally acknowledged as the beginning of the Baroque period, Renaissance characteristics are found long after that. The two styles, stile antico and stile moderno existed side by side, particularly in the early Baroque. Composers often wrote in both styles; consequently, a conductor must look beyond the name and dates of a composer to determine the style of the music.","Based on the article, which of the following options contains a property that IS NOT characteristic of Baroque choral music?","Terraced dynamics, doctrine of affections, virtuosity and improvisation, outer voice polarity","Steady pulsating rhythm, doctrine of affections, new counterpoint, figured bass","Instruments influenced texture, form determined by musical considerations, major-minor tonality","Instruments influenced texture, staccato style, instruments influenced texture","New counterpoint, concertato style, instruments influenced texture, doctrine of affections",I don't remember,D
,,"Based on the article, what period of time was characteristic of Baroque music?",1600-1750,1650-1800,1750-1900,1550-1700,None of the above,I don't remember,A
,,How many properties of Baroque choral music were outlined in the article?,10,11,12,14,None of the above,I don't remember,C
,,"Based on the article, what is outer voice polarity associated with?",Subordinate to the harmony,Soprano melody over a figured bass,Instruments influenced texture,Doctrine of affections,Figured Bass,I don't remember,B
,,Which phrase was not associated with baroque music in the article?,resurrection,heaven,primeval,to the depths,descended into hell,I don't remember,C
What Is The OSI Model?,300,"The Open Systems Interconnection Model breaks down network communication into seven layers. These layers are useful for identifying network issues.

The Open Systems Interconnection (OSI) model is a conceptual model created by the International Organization for Standardization which enables diverse communication systems to communicate using standard protocols. In plain English, the OSI provides a standard for different computer systems to be able to communicate with each other.

The OSI model can be seen as a universal language for computer networking. It’s based on the concept of splitting up a communication system into seven abstract layers, each one stacked upon the last.

Each layer of the OSI model handles a specific job and communicates with the layers above and below itself. DDoS attacks target specific layers of a network connection; application layer attacks target layer 7 and protocol layer attacks target layers 3 and 4.

Why does the OSI model matter?

Although the modern Internet doesn’t strictly follow the OSI model (it more closely follows the simpler Internet protocol suite), the OSI model is still very useful for troubleshooting network problems. Whether it’s one person who can’t get their laptop on the Internet, or a web site being down for thousands of users, the OSI model can help to break down the problem and isolate the source of the trouble. If the problem can be narrowed down to one specific layer of the model, a lot of unnecessary work can be avoided.

What are the seven layers of the OSI model?

The seven abstraction layers of the OSI model can be defined as follows, from top to bottom:

7. The Application Layer

This is the only layer that directly interacts with data from the user. Software applications like web browsers and email clients rely on the application layer to initiate communications. But it should be made clear that client software applications are not part of the application layer; rather the application layer is responsible for the protocols and data manipulation that the software relies on to present meaningful data to the user. Application layer protocols include HTTP as well as SMTP (Simple Mail Transfer Protocol is one of the protocols that enables email communications).


6. The Presentation Layer

This layer is primarily responsible for preparing data so that it can be used by the application layer; in other words, layer 6 makes the data presentable for applications to consume. The presentation layer is responsible for translation, encryption, and compression of data.

Two communicating devices communicating may be using different encoding methods, so layer 6 is responsible for translating incoming data into a syntax that the application layer of the receiving device can understand.

If the devices are communicating over an encrypted connection, layer 6 is responsible for adding the encryption on the sender’s end as well as decoding the encryption on the receiver's end so that it can present the application layer with unencrypted, readable data.

Finally the presentation layer is also responsible for compressing data it receives from the application layer before delivering it to layer 5. This helps improve the speed and efficiency of communication by minimizing the amount of data that will be transferred.


5. The Session Layer

This is the layer responsible for opening and closing communication between the two devices. The time between when the communication is opened and closed is known as the session. The session layer ensures that the session stays open long enough to transfer all the data being exchanged, and then promptly closes the session in order to avoid wasting resources.

The session layer also synchronizes data transfer with checkpoints. For example, if a 100 megabyte file is being transferred, the session layer could set a checkpoint every 5 megabytes. In the case of a disconnect or a crash after 52 megabytes have been transferred, the session could be resumed from the last checkpoint, meaning only 50 more megabytes of data need to be transferred. Without the checkpoints, the entire transfer would have to begin again from scratch.


4. The Transport Layer

Layer 4 is responsible for end-to-end communication between the two devices. This includes taking data from the session layer and breaking it up into chunks called segments before sending it to layer 3. The transport layer on the receiving device is responsible for reassembling the segments into data the session layer can consume.

The transport layer is also responsible for flow control and error control. Flow control determines an optimal speed of transmission to ensure that a sender with a fast connection doesn’t overwhelm a receiver with a slow connection. The transport layer performs error control on the receiving end by ensuring that the data received is complete, and requesting a retransmission if it isn’t.


3. The Network Layer

The network layer is responsible for facilitating data transfer between two different networks. If the two devices communicating are on the same network, then the network layer is unnecessary. The network layer breaks up segments from the transport layer into smaller units, called packets, on the sender’s device, and reassembling these packets on the receiving device. The network layer also finds the best physical path for the data to reach its destination; this is known as routing.


2. The Data Link Layer

The data link layer is very similar to the network layer, except the data link layer facilitates data transfer between two devices on the SAME network. The data link layer takes packets from the network layer and breaks them into smaller pieces called frames. Like the network layer, the data link layer is also responsible for flow control and error control in intra-network communication (The transport layer only does flow control and error control for inter-network communications).

1. The Physical Layer

This layer includes the physical equipment involved in the data transfer, such as the cables and switches. This is also the layer where the data gets converted into a bit stream, which is a string of 1s and 0s. The physical layer of both devices must also agree on a signal convention so that the 1s can be distinguished from the 0s on both devices.",Which 2 layers sit between the Application Layer and the Transport Layer?,"Presentation Layer, Session Layer","Data Link Layer, Presentation Layer","Transmission Layer, Network Layer","DataLink Layer, Physical Layer",None of the above,I don't remember,A
,,"Based on the article, what layer is responsible for flow control and error control?",Presentation Layer,Data Link Layer,Transport Layer,The Network Layer,The Session Layer,I don't remember,C
,,How many layers comprise the OSI Model?,5,6,7,8,9,I don't remember,C
,,What does OSI stand for?,Operating System Interface,Open System Internet,Open Systems Interconnection,Operating Systems Interconnect,None of the above,I don't remember,C
,,"Based on the article, which layer breaks up segments from the transport layer into smaller units, called packets, on the sender’s device, and reassembling these packets on the receiving device?",The Data Link Layer,The Physical Layer,The Session Layer,The Presentaiton Layer,None of the above,I don't remember,E
Famous potions from Harry Potter,165,"Amortentia
Amortentia is a love potion that does not create actual love, but gives the drinker a powerful obsession and infatuation with the giver of the potion. It is usually either forced upon someone or covertly given. 

Confusing Concoction
A Confusing Concoction causes the drinker to become confused, distracted and sick. During potions in his third year in Harry Potter and the Prisoner of Azkaban, Harry has to brew this potion but cannot manage to thicken it. Harry sees Severus Snape scribble something on a clipboard that ""looks suspiciously like a zero.""

Draught of Living Death
When a person drinks the Draught of Living Death, they go into a deep sleep so strong that they appear to be dead, hence the name. It is made from powdered root of asphodel which is added to an infusion of wormwood, and was first mentioned in Harry's first potions lesson with Snape in Harry Potter and the Philosophers Stone.

Draught of Peace
The Draught of Peace provides personal comfort, calms anxiety and soothes agitation. In Harry Potter and the Order of the Phoenix, Snape sets the potion as one of his lessons. It is a very difficult potion to make as the ingredients have to be added in a very specific order, the mixture has to be stirred exactly the right number of times, and the heat of the flames on which it is simmering has to be lowered to exactly the right level for the right number of minutes before the final ingredient is added.

Felix Felicis/Liquid Luck
Felix Felicis, more commonly known as Liquid Luck, grants whoever drinks it unusually good luck. The time span of this luck depends on the amount imbibed. 

Pepperup Potion
A Pepperup Potion is designed to improve health, relieve coughs and colds, though it does have one major side effect: it causes steam to dribble from the patient's ears for several hours afterward. It is also used to quickly elevate body temperature, as shown after the second task in Harry Potter and the Goblet of Fire and mentioned in Harry Potter and the Chamber of Secrets.

Polyjuice Potion
The Polyjuice Potion allows the drinker to assume the appearance of someone else for an hour or more depending on the quantity. The potion only causes a physical and voice transformation of the drinker, but clothing is not affected. Its ingredients include fluxweed, knotgrass, lacewing flies, leeches, powdered Bicorn horn, and shredded Boomslang skin. The final component is a bit of the individual to be impersonated; strands of hair are most often used for this purpose.

Skele-Gro
Skele-Gro is a medicinal potion that can regrow missing or removed bones, though it tastes terrible and the process is very slow and extremely painful. In Chamber of Secrets, a bewitched Bludger breaks Harry's arm while he plays Quidditch, and Gilderoy Lockhart, the incompetent Defence Against the Dark Arts teacher, accidentally removes his bones instead of mending them. As a result, Harry takes a dose of the potion and spends the night in the hospital wing.

Sleekeazy's Hair Potion
Sleekeazy's Hair Potion is a beauty treatment used by witches to smooth and straighten hair.

Veritaserum
Veritaserum is a very powerful truth potion. The name ""Veritaserum"" derives from the Latin word Veritas, meaning truth. Three drops of this potion are all that is needed to force anyone to respond to any question with the truth.",Which of the following is NOT a famous potion from the Harry Potter series mentioned in the previous article?,Draught of Peace,Draught of Living Death,Pepperup Potion,Polyjuice potion,None of the above,I don't remember,E
,,What is the other name for Felix Felicis?,Flashy Flights,Fleeting Feelings,Liquid Love,Liquid Luck,None of the above,I don't remember,D
,,Which of the following is not an ingredient for Polyjuice Potion?,fluxweed,knotgrass,lacewing flies,leeches,snakeskin,I don't remember,E
,,What does the Polyjuice potion do?,Regrows one skeleton,Go into a deep sleep,Fall in love,Tell the truth,None of the Above,I don't remember,E
,,What does the Veritaserum potion do?,Regrows one skeleton,Go into a deep sleep,Fall in love,Tell the truth,None of the Above,I don't remember,D
Creation of Central Park,90,"Before Central Park was created, the landscape along what is now the Park's perimeter from West 82nd to West 89th Street was the site of Seneca Village, a community of predominantly African-Americans, many of whom owned property.
Seneca Village began in 1825, by the mid 1850s, the village consisted of approximately 225 residents, made up of roughly two-thirds African-Americans, one-third Irish immigrants, and a small number of individuals of German descent. Compared to other African-Americans living in New York, residents of Seneca Village seem to have been more stable and prosperous. By 1855, approximately half of them owned their own homes. With property ownership came other rights not commonly held by African-Americans in the City, namely, the right to vote. In 1821, New York State required African-American men to own at least $250 in property and hold residency for at least three years to be able to vote. Of the 100 black New Yorkers eligible to vote in 1845, 10 lived in Seneca Village.

During the early 1850s, the City began planning for a large municipal park to counter unhealthful urban conditions and provide space for recreation. In 1853, the New York State Legislature enacted a law that set aside 775 acres of land in Manhattan to create the country's first major landscaped public park. The City acquired the land through eminent domain, the law that allows the government to take private land for public use with compensation paid to the landowner. Ultimately, all residents had to leave by the end of 1857. ","By 1855, what was the Seneca village made up of roughly?","two-thirds Irish, one-third African-Americans immigrants","two-thirds African-Americans, one-third Irish immigrants","two-thirds African-Americans, one-third German immigrants","two-thirds German, one-third African-Americans immigrants",None of the above,I don't remember,B
,,"In 1821, New York State required African-American men to meet which requirement(s) to vote?",Own property and hold residency for at least five years,Own at least $250 in property and hold residency for at least three years,Own at least $250 in property and have no criminal record,Have paid at least $250 in property tax and hold residency for at least five years,None of the above,I don't remember,B
,,The New York City acquired the land for Seneca Village through eminent domain law. What is eminent domain law?,The law allows the government to take private land for public use with compensation paid to the landowner,The law allows the government to take private land for public use by providing alternative property to the landowner,The law allows the government to take private land for public use by providing tax credit to the landowner,The law allows the government to take private land for public use by sharing ownership of the new establishment with the landowner,None of the above,I don't remember,A
,,"Of the 100 black New Yorkers eligible to vote in 1845, how many lived in Seneca Village?",25,15,10,45,None of the above,I don't remember,C
How money is made,70,"The ordinary paper that consumers use throughout their everyday life such as newspapers, books, cereal boxes, etc., is primarily made of wood pulp; however, United States currency paper is composed of 75 percent cotton and 25 percent linen. This is what gives the United States currency its distinct look, feel and durability. Bills over $1 have red and blue strands woven in for security purposes. Dollar bills do not have this feature.
All physical monetary production is overseen by the Bureau of Engraving and Printing, which has printing facilities in Washington, D.C. and Fort Worth, Texas. The image of the dollar bill is engraved onto giant steel plates. These sheets of soft steel are then curved slightly and bolted onto a printing cylinder. Ink is added and then wiped off, leaving only ink in the engraved, recessed areas of the plate. The special sheets of paper, together in massive rolls, are then fed through the machines as they rotate, exerting 20 tons of pressure from the top and the bottom. These machines can print around 8,000 sheets per hour.
Sheets of bills then pass through a state-of-the-art computer scanning process that checks for inconsistencies. When complete, bills are packaged and shipped all over the country.",What is the United States currency paper is composed of?,75% cotton and 25% linen,75% cotton and 25% wood pulp,75% cotton and 25% wool,75% cotton and 25% synthetic polymer,None of the above,I don't remember,A
,,Bills over what dollar amount have red and blue strands woven in for security purposes?,1,2,5,10,None of the above,I don't remember,A
,,Where are the U.S. paper currency printing facilities?,"Washington, D.C.","Washington, D.C. and McLean, VA","Washington, D.C. and Atlanta, GA","Washington, D.C. and Fort Worth, TX",None of the above,I don't remember,D
,,How many sheets can bill-printing machines print per hour?,"1,000","2,000","8,000","3,000",None of the above,I don't remember,C
History of the Submarine,70"The submarine's origins trace back as far as 332 B.C., when it was said that Alexander the Great was lowered into the ocean inside a glass barrel so he could study the life of fish. This concept was then pushed aside until it reappeared again in 1578 in a publication called Inventions or Devises, written by William Bourne. Bourne described the idea of submerging a boat by altering its volume.
Around 1620, Cornelis Jacobszoon Drebbel, a Dutch engineer, covered a rowboat in greased leather. A dozen oarsmen row beneath the surface of the Thames, breathing through snorkel tubes. He named his boat Drebbel I, and it is considered by many to have been the first functioning submarine.
In 1863, the French Plongeur ('Diver') which was powered by engines run on compressed air, became the first submarine that did not rely on human propulsion for momentum.
The real breakthrough, and the birth of the modern submarine, came courtesy of John Phillip Holland, towards the end of the 19th century. He became the first designer to successfully unite three new pieces of technology - the electric motor, the electric battery, and the internal combustion engine - to create the first recognizably modern submarine, USS Holland. Submarines were first widely used during World War I, and are now used in many navies large and small.",Which submarine was the first recongizably modern submarine?,Drebbel I,Plongeur ('Diver'),USS Holland,Nautilus,None of the above,I don't remember,C
,,The first modern submarine successfully united 3 new pieces of technology NOT including which?,Diving Bell,Electric motor,Electric battery,Internal combustion engine ,None of the above,I don't remember,A
,,Submarines were first widely used during which war?,WWI,WWII,Cold War,Korean War,None of the above,I don't remember,A
,,The first functioning submarine Drebbel I was created by who?,A German engineer,A Dutch engineer,An English engineer,An American engineer,None of the above,I don't remember,B
Animal Migration,80,"Most people think of migration as the seasonal movement of a flock of birds between their breeding and non-breeding sites. However, there are many other forms of animal migration, including journeys between east and west, complex round-trips involving land and ocean, altitudinal journeys up and down mountains, and vertical movements through the water column of oceans and lakes. What sets migration apart from other forms of movements is that migration typically involves travelling from one type of habitat to another.
The Atlantic Salmon begins its life in a river and migrates downstream to the ocean. After several years, it heads back upstream to lay eggs. They use smell cues to find their home rivers where they were hatched.
At the end of every summer, more than 100 million monarch butterflies sweep across North America to overwinter up to 3,000 miles further south in California and Mexico. The complete migration requires an intergenerational relay. No single individual makes the entire round trip, as the duration of these journeys exceeds their lifespan. Instead, the females lay eggs during the migration, from which the next generation of migrants emerges. 
Southern right whales migrate from their Antarctic feeding areas to temperate breeding areas along the coasts of Chile and Argentina, southern Africa, and Australia and New Zealand, covering 1,500 miles each way. Their migration is fuelled entirely by fat accumulated during their four-month stay in the icy Southern Ocean around Antarctica, where they skim the surface waters for zooplankton. Amazingly, they will not feed until their return a year later.",Where do monarch butterflies migrate across?,South America,North America,South East Asia,Australia,None of the above,I don't remember,B
,,Which migration is inter-generational?,Atlantic salmon,Monarch butterfly,Canadian goose,Southern right whale,None of the above,I don't remember,B
,,What do Southern right whale eat?,Squid,Seals and sea lions,"Small fish such as sardines, herrings, and mackerel",Zooplankton,None of the above,I don't remember,D
,,Which sense do the Atlantic salmons use to find the river they were hatched?,Sight,Taste,Smell,Hearing,None of the above,I don't remember,C
