Passage,Question number,Question,A,B,C,D,E,IDK,Answer
"The Civil War","The Civil War in Virginia (1862)

The Civil War in the United States began in 1861, after decades of simmering tensions between northern and southern states over slavery, states’ rights and westward expansion. The election of Abraham Lincoln in 1860 caused seven southern states to secede and form the Confederate States of America; four more states soon joined them. The War Between the States, as the Civil War was also known, ended in Confederate surrender in 1865. The conflict was the costliest and deadliest war ever fought on American soil, with some 620,000 of 2.4 million soldiers killed, millions more injured and much of the South left in ruin.
 
George B. McClellan–who replaced the aging General Winfield Scott as supreme commander of the Union Army after the first months of the war–was beloved by his troops, but his reluctance to advance frustrated Lincoln. In the spring of 1862, McClellan finally led his Army of the Potomac up the peninsula between the York and James Rivers, capturing Yorktown on May 4. The combined forces of Robert E. Lee and Jackson successfully drove back McClellan’s army in the Seven Days’ Battles (June 25-July 1), and a cautious McClellan called for yet more reinforcements in order to move against Richmond. Lincoln refused, and instead withdrew the Army of the Potomac to Washington. By mid-1862, McClellan had been replaced as Union general-in-chief by Henry W. Halleck, though he remained in command of the Army of the Potomac.
 
Lee then moved his troops northwards and split his men, sending Jackson to meet Pope’s forces near Manassas, while Lee himself moved separately with the second half of the army. On August 29, Union troops led by John Pope struck Jackson’s forces in the Second Battle of Bull Run (Second Manassas). The next day, Lee hit the Federal left flank with a massive assault, driving Pope’s men back towards Washington. On the heels of his victory at Manassas, Lee began the first Confederate invasion of the North. Despite contradictory orders from Lincoln and Halleck, McClellan was able to reorganize his army and strike at Lee on September 14 in Maryland, driving the Confederates back to a defensive position along Antietam Creek, near Sharpsburg.
 
On September 17, the Army of the Potomac hit Lee’s forces (reinforced by Jackson’s) in what became the war’s bloodiest single day of fighting. Total casualties at the Battle of Antietam (also known as the Battle of Sharpsburg) numbered 12,410 of some 69,000 troops on the Union side, and 13,724 of around 52,000 for the Confederates. The Union victory at Antietam would prove decisive, as it halted the Confederate advance in Maryland and forced Lee to retreat into Virginia. Still, McClellan’s failure to pursue his advantage earned him the scorn of Lincoln and Halleck, who removed him from command in favor of Ambrose E. Burnside. Burnside’s assault on Lee’s troops near Fredericksburg on December 13 ended in heavy Union casualties and a Confederate victory; he was promptly replaced by Joseph “Fighting Joe” Hooker, and both armies settled into winter quarters across the Rappahannock River from each other.
 
After the Emancipation Proclamation (1863-4)
 
Lincoln had used the occasion of the Union victory at Antietam to issue a preliminary Emancipation Proclamation, which freed all enslaved people in the rebellious states after January 1, 1863. He justified his decision as a wartime measure, and did not go so far as to free the enslaved people in the border states loyal to the Union. Still, the Emancipation Proclamation deprived the Confederacy of the bulk of its labor forces and put international public opinion strongly on the Union side. Some 186,000 Black Civil War soldiers would join the Union Army by the time the war ended in 1865, and 38,000 lost their lives.
 
In the spring of 1863, Hooker’s plans for a Union offensive were thwarted by a surprise attack by the bulk of Lee’s forces on May 1, whereupon Hooker pulled his men back to Chancellorsville. The Confederates gained a costly victory in the Battle of Chancellorsville, suffering 13,000 casualties (around 22 percent of their troops); the Union lost 17,000 men (15 percent). Lee launched another invasion of the North in June, attacking Union forces commanded by General George Meade on July 1 near Gettysburg, in southern Pennsylvania. Over three days of fierce fighting, the Confederates were unable to push through the Union center, and suffered casualties of close to 60 percent.
 
Meade failed to counterattack, however, and Lee’s remaining forces were able to escape into Virginia, ending the last Confederate invasion of the North. Also in July 1863, Union forces under Ulysses S. Grant took Vicksburg (Mississippi) in the Siege of Vicksburg, a victory that would prove to be the turning point of the war in the western theater. After a Confederate victory at Chickamauga Creek, Georgia, just south of Chattanooga, Tennessee, in September, Lincoln expanded Grant’s command, and he led a reinforced Federal army (including two corps from the Army of the Potomac) to victory in the Battle of Chattanooga in late November.
 
Toward a Union Victory (1864-65)
 
In March 1864, Lincoln put Grant in supreme command of the Union armies, replacing Halleck. Leaving William Tecumseh Sherman in control in the West, Grant headed to Washington, where he led the Army of the Potomac towards Lee’s troops in northern Virginia. Despite heavy Union casualties in the Battle of the Wilderness and at Spotsylvania (both May 1864), at Cold Harbor (early June) and the key rail center of Petersburg (June), Grant pursued a strategy of attrition, putting Petersburg under siege for the next nine months.
 
Sherman outmaneuvered Confederate forces to take Atlanta by September, after which he and some 60,000 Union troops began the famous “March to the Sea,” devastating Georgia on the way to capturing Savannah on December 21. Columbia and Charleston, South Carolina, fell to Sherman’s men by mid-February, and Jefferson Davis belatedly handed over the supreme command to Lee, with the Confederate war effort on its last legs. Sherman pressed on through North Carolina, capturing Fayetteville, Bentonville, Goldsboro and Raleigh by mid-April.
 
Meanwhile, exhausted by the Union siege of Petersburg and Richmond, Lee’s forces made a last attempt at resistance, attacking and captured the Federal-controlled Fort Stedman on March 25. An immediate counterattack reversed the victory, however, and on the night of April 2-3 Lee’s forces evacuated Richmond. For most of the next week, Grant and Meade pursued the Confederates along the Appomattox River, finally exhausting their possibilities for escape. Grant accepted Lee’s surrender at Appomattox Court House on April 9. On the eve of victory, the Union lost its great leader: The actor and Confederate sympathizer John Wilkes Booth assassinated President Lincoln at Ford’s Theatre in Washington on April 14. Sherman received Johnston’s surrender at Durham Station, North Carolina on April 26, effectively ending the Civil War.",1,Question - how many troops were on the Union side in the Battle of Antietam?,"15,420","12,410","13,800","9,480",None of the above,I don't remember,B
,,2,Question - who did George B McClellan replace?,Ulysses Grant,George Custer,Henry Halleck,Arthur McAdams,None of the above,I don't remember,E
,,3,Question - what occasion did Lincoln use to sign the Emancipation Proclamation?,Battle of Antietam,Siege of Richmond,Battle of Gettysburg,March to the Sea,None of the above,I don't remember,A
,,4,Question - ... q4?,Ulysses Grant,George Custer,Henry Halleck,Arthur McAdams,None of the above,I don't remember,E
,,5,Question - ... q5?,Battle of Antietam,Siege of Richmond,Battle of Gettysburg,March to the Sea,None of the above,I don't remember,A
"The Baroque Period (1600-1750)","The Baroque period was anticipated before 1600, although that date remains as a convenient marker for the start of the period. It is a period of dramatic expression, of a vigorous, highly ornamented art. An era of absolute monarchies, each court had its own group of musicians, both vocal and instrumental.
The Doctrine of Affections of the Baroque relates to the portrayal of emotions through music. A recognized musical vocabulary expressed certain emotions. Within this overall context, composers used musical techniques to vividly describe the meaning of the words. Rising passages are found at words such as ""resurrection,"" ""heaven,"" etc. Descending passages were used for such phrases as ""to the depths"" and ""descended into hell.""
It was also a period of scientific discovery and reasoning. New findings in the sciences were vitally important to knowledge on the continent. Although we are usually concerned with Baroque music of the continent, it was during this period that the settlement of the New World began.
Rhythmic energy, coupled with a strong melodic thrust, makes performances of Baroque music appealing and satisfying to musicians, both amateur and professional.
Characteristics of Baroque choral music include:
1. Vertical structure rather than linear
2. Major-minor tonality established
3. Figured bass
4. Outer voice polarity—soprano melody over a figured bass
5. New counterpoint—subordinate to the harmony
6. Concertato style important
7. Terraced dynamics
8. Instruments influenced texture
9. Form determined by musical considerations
10. Doctrine of Affections
11. Virtuosity and improvisation are important elements
12. Steady pulsating rhythm—barlines introduced
Although 1600 is generally acknowledged as the beginning of the Baroque period, Renaissance characteristics are found long after that. The two styles, stile antico and stile moderno existed side by side, particularly in the early Baroque. Composers often wrote in both styles; consequently, a conductor must look beyond the name and dates of a composer to determine the style of the music.",1,"Based on the article, which of the following options contains a property that IS NOT characteristic of Baroque choral music?","Terraced dynamics, doctrine of affections, virtuosity and improvisation, outer voice polarity","Steady pulsating rhythm, doctrine of affections, new counterpoint, figured bass","Instruments influenced texture, form determined by musical considerations, major-minor tonality","Instruments influenced texture, staccato style, instruments influenced texture","New counterpoint, concertato style, instruments influenced texture, doctrine of affections",I don't remember,D
,,2,"Based on the article, what period of time was characteristic of Baroque music?",1600-1750,1650-1800,1750-1900,1550-1700,None of the above,I don't remember,A
,,3,"Based on the article, ...q3?",1600-1750,1650-1800,1750-1900,1550-1700,None of the above,I don't remember,A
,,4,"Based on the article, ...q4?",1600-1750,1650-1800,1750-1900,1550-1700,None of the above,I don't remember,A
,,5,"Based on the article, ...q5?",1600-1750,1650-1800,1750-1900,1550-1700,None of the above,I don't remember,A
